timestamp,feeder_id,source_p_kw,source_q_kvar,converged,n_buses,n_deenergized,vpu_min,vpu_max
2010-07-01T00:00:00,ieee123,4072.47,2053.08,1,124,0,0.8628,0.9748
2010-07-01T00:30:00,ieee123,3505.98,1593.19,1,124,0,0.8823,0.9839
2010-07-01T01:00:00,ieee123,3397.68,1502.22,1,124,0,0.8922,0.9840
2010-07-01T01:30:00,ieee123,2623.86,875.24,1,124,0,0.9254,0.9910
2010-07-01T02:00:00,ieee123,2295.90,627.01,1,124,0,0.9549,0.9935
2010-07-01T02:30:00,ieee123,1938.30,422.12,1,124,0,0.9508,1.0093
2010-07-01T03:00:00,ieee123,2125.95,513.66,1,124,0,0.9543,0.9982
2010-07-01T03:30:00,ieee123,2209.53,604.89,1,124,0,0.9398,0.9995
2010-07-01T04:00:00,ieee123,2327.94,756.64,1,124,0,0.9339,0.9915
2010-07-01T04:30:00,ieee123,1960.58,404.15,1,124,0,0.9560,0.9980
2010-07-01T05:00:00,ieee123,2691.86,983.20,1,124,0,0.9307,0.9867
2010-07-01T05:30:00,ieee123,3676.69,1840.70,1,124,0,0.8863,0.9732
2010-07-01T06:00:00,ieee123,4274.84,2497.14,1,124,0,0.8527,0.9634
2010-07-01T06:30:00,ieee123,4791.17,2901.92,1,124,0,0.8436,0.9555
2010-07-01T07:00:00,ieee123,5414.96,3545.67,1,124,0,0.8161,0.9437
2010-07-01T07:30:00,ieee123,6316.50,4582.55,1,124,0,0.7682,0.9326
2010-07-01T08:00:00,ieee123,5465.44,3494.92,1,124,0,0.8023,0.9488
2010-07-01T08:30:00,ieee123,5844.48,4030.42,1,124,0,0.7935,0.9375
2010-07-01T09:00:00,ieee123,5037.71,3188.80,1,124,0,0.8430,0.9524
2010-07-01T09:30:00,ieee123,4812.59,2912.52,1,124,0,0.8388,0.9635
2010-07-01T10:00:00,ieee123,3372.66,1487.06,1,124,0,0.9039,0.9901
2010-07-01T10:30:00,ieee123,3554.13,1659.39,1,124,0,0.8900,0.9876
2010-07-01T11:00:00,ieee123,3408.34,1579.50,1,124,0,0.8923,0.9896
2010-07-01T11:30:00,ieee123,3841.59,2082.95,1,124,0,0.8514,0.9820
2010-07-01T12:00:00,ieee123,3697.24,1884.35,1,124,0,0.8747,0.9804
