assignment_id,customer_id,generator_capacity_kwp,seed,cl_present
1,58,1.0,42,False
2,13,2.22,42,False
3,141,3.0,42,False
4,126,1.1,42,True
5,115,1.8,42,False
6,72,1.02,42,False
7,53,1.48,42,True
8,280,1.5,42,False
9,45,2.05,42,False
10,217,1.1,42,True
11,17,1.85,42,False
12,16,3.33,42,False
13,48,2.96,42,False
14,112,1.92,42,True
15,120,2.04,42,False
16,259,1.05,42,True
17,14,1.48,42,True
18,288,1.5,42,False
19,102,2.0,42,False
20,215,1.0,42,True
21,113,1.5,42,False
22,230,1.5,42,False
23,143,2.1,42,False
24,4,1.0,42,True
25,82,3.78,42,False
