event_id,scenario_id,timestamp,feeder_id,src_device,dst_device,protocol,message_type,direction,sequence,point_id,value,unit,quality,delivery_status,latency_ms,injected,replay_of_event_id,original_value,reported_value,command_id,result,label,attack_id,mitre_technique
multi_step_attack_ieee37-atk001,multi_step_attack_ieee37,2010-07-01T00:00:00,ieee37,SCADA_MASTER,RTU_ieee37,DNP3,QUERY,SCADA_TO_RTU,1,,,,GOOD,DELIVERED,0,1,,,,SCAN-ieee37-POINTS,SCAN,ATTACK,multi_step_attack,T0846
multi_step_attack_ieee37-atk010,multi_step_attack_ieee37,2010-07-01T00:00:00,ieee37,RTU_ieee37,SCADA_MASTER,DNP3,REPORT,RTU_TO_SCADA,10,BUS_703_VPU_BC,0.8793103763609587,pu,GOOD,DELIVERED,0,0,,,,,DISCOVERED,ATTACK,multi_step_attack,T0846
multi_step_attack_ieee37-atk100,multi_step_attack_ieee37,2010-07-01T00:00:00,ieee37,RTU_ieee37,SCADA_MASTER,DNP3,REPORT,RTU_TO_SCADA,100,BUS_741_VPU_BC,0.8692732157817482,pu,GOOD,DELIVERED,0,0,,,,,DISCOVERED,ATTACK,multi_step_attack,T0846
multi_step_attack_ieee37-atk101,multi_step_attack_ieee37,2010-07-01T00:00:00,ieee37,RTU_ieee37,SCADA_MASTER,DNP3,REPORT,RTU_TO_SCADA,101,BUS_741_VPU_CA,0.8904792631555125,pu,GOOD,DELIVERED,0,0,,,,,DISCOVERED,ATTACK,multi_step_attack,T0846
multi_step_attack_ieee37-atk102,multi_step_attack_ieee37,2010-07-01T00:00:00,ieee37,RTU_ieee37,SCADA_MASTER,DNP3,REPORT,RTU_TO_SCADA,102,BUS_742_VPU_AB,0.9062053525325588,pu,GOOD,DELIVERED,0,0,,,,,DISCOVERED,ATTACK,multi_step_attack,T0846
multi_step_attack_ieee37-atk103,multi_step_attack_ieee37,2010-07-01T00:00:00,ieee37,RTU_ieee37,SCADA_MASTER,DNP3,REPORT,RTU_TO_SCADA,103,BUS_742_VPU_BC,0.8827208353387134,pu,GOOD,DELIVERED,0,0,,,,,DISCOVERED,ATTACK,multi_step_attack,T0846
multi_step_attack_ieee37-atk104,multi_step_attack_ieee37,2010-07-01T00:00:00,ieee37,RTU_ieee37,SCADA_MASTER,DNP3,REPORT,RTU_TO_SCADA,104,BUS_742_VPU_CA,0.9145593783275594,pu,GOOD,DELIVERED,0,0,,,,,DISCOVERED,ATTACK,multi_step_attack,T0846
multi_step_attack_ieee37-atk105,multi_step_attack_ieee37,2010-07-01T00:00:00,ieee37,RTU_ieee37,SCADA_MASTER,DNP3,REPORT,RTU_TO_SCADA,105,BUS_744_VPU_AB,0.8940611809581672,pu,GOOD,DELIVERED,0,0,,,,,DISCOVERED,ATTACK,multi_step_attack,T0846
multi_step_attack_ieee37-atk106,multi_step_attack_ieee37,2010-07-01T00:00:00,ieee37,RTU_ieee37,SCADA_MASTER,DNP3,REPORT,RTU_TO_SCADA,106,BUS_744_VPU_BC,0.8786100479149951,pu,GOOD,DELIVERED,0,0,,,,,DISCOVERED,ATTACK,multi_step_attack,T0846
multi_step_attack_ieee37-atk107,multi_step_attack_ieee37,2010-07-01T00:00:00,ieee37,RTU_ieee37,SCADA_MASTER,DNP3,REPORT,RTU_TO_SCADA,107,BUS_744_VPU_CA,0.9072577408525715,pu,GOOD,DELIVERED,0,0,,,,,DISCOVERED,ATTACK,multi_step_attack,T0846
multi_step_attack_ieee37-atk108,multi_step_attack_ieee37,2010-07-01T00:00:00,ieee37,RTU_ieee37,SCADA_MASTER,DNP3,REPORT,RTU_TO_SCADA,108,BUS_799_VPU_AB,0.9311139465736041,pu,GOOD,DELIVERED,0,0,,,,,DISCOVERED,ATTACK,multi_step_attack,T0846
multi_step_attack_ieee37-atk109,multi_step_attack_ieee37,2010-07-01T00:00:00,ieee37,RTU_ieee37,SCADA_MASTER,DNP3,REPORT,RTU_TO_SCADA,109,BUS_799_VPU_BC,0.9105753028472295,pu,GOOD,DELIVERED,0,0,,,,,DISCOVERED,ATTACK,multi_step_attack,T0846
multi_step_attack_ieee37-atk011,multi_step_attack_ieee37,2010-07-01T00:00:00,ieee37,RTU_ieee37,SCADA_MASTER,DNP3,REPORT,RTU_TO_SCADA,11,BUS_703_VPU_CA,0.9087266560248548,pu,GOOD,DELIVERED,0,0,,,,,DISCOVERED,ATTACK,multi_step_attack,T0846
multi_step_attack_ieee37-atk110,multi_step_attack_ieee37,2010-07-01T00:00:00,ieee37,RTU_ieee37,SCADA_MASTER,DNP3,REPORT,RTU_TO_SCADA,110,BUS_799_VPU_CA,0.9385237751075992,pu,GOOD,DELIVERED,0,0,,,,,DISCOVERED,ATTACK,multi_step_attack,T0846
multi_step_attack_ieee37-atk111,multi_step_attack_ieee37,2010-07-01T00:00:00,ieee37,RTU_ieee37,SCADA_MASTER,DNP3,REPORT,RTU_TO_SCADA,111,CTRL_load_load_001_kvar_multiplier,1.0,pu,GOOD,DELIVERED,0,0,,,,,DISCOVERED,ATTACK,multi_step_attack,T0846
multi_step_attack_ieee37-atk112,multi_step_attack_ieee37,2010-07-01T00:00:00,ieee37,RTU_ieee37,SCADA_MASTER,DNP3,REPORT,RTU_TO_SCADA,112,CTRL_load_load_001_kw_multiplier,1.0,pu,GOOD,DELIVERED,0,0,,,,,DISCOVERED,ATTACK,multi_step_attack,T0846
